15,1,"277,451,377,470,459,502,558,470,679,458,802,456,985,457,949,543,808,555,659,597,649,694,650,788,275,786,290,677,274,570,150,544,2,456,21,415,150,429","19 16 17 18,1 15 16 19,2 3 4 10 11 12 13 14 15,10 5 6 9,6 7 8 9","19 16 17 18,1 15 16 19,2 3 4 10 11 12 13 14 15,10 5 6 9,6 7 8 9","196,209,223,239",""
16,1,"848,400,950,555,959,946,753,949,752,558,747,436,98,406,195,432,199,563,243,946,2,944,5,553,596,131,931,105,933,187,655,247,514,261,254,193,255,152,581,154,778,126,780,237,414,154,422,248","19 16 17 18,1 15 16 19,2 3 20 13 15 1,4 5 10 12 20 3,10 5 6 9,6 7 8 9","23 24 18 19,20 17 24 23,1 2 3 4 5 6,7 8 9 10 11 12,16 13 21 22,21 14 15 22","259,116,294,157",""
17,1,"154,148,202,198,197,620,51,630,31,239,54,153,547,507,680,547,705,616,699,960,503,962,514,554,377,99,699,97,686,23,378,3,828,501,506,479,499,400,819,404,524,6,527,98,664,400,669,501","19 16 17 18,1 15 16 19,2 3 20 13 15 1,4 5 10 12 20 3,10 5 6 9,6 7 8 9","23 24 18 19,20 17 24 23,1 2 3 4 5 6,7 8 9 10 11 12,16 13 22 21,22 14 15 21","213,218,245,253",""
18,1,"309,47,452,23,502,57,551,21,707,46,828,68,992,104,986,160,825,182,686,192,661,287,686,463,306,461,342,285,302,174,175,181,16,150,14,102,175,67","19 16 17 18,1 15 16 19,2 3 4 10 11 12 13 14 15,10 5 6 9,6 7 8 9","19 16 17 18,1 15 16 19,2 3 4 10 11 12 13 14 15,10 5 6 9,6 7 8 9","202,218,227,254",""
19,1,"202,51,281,51,331,54,374,52,451,55,453,99,450,298,448,496,207,487,204,294,205,98,52,51,53,294,52,548,145,546,138,292,129,50,460,54,463,298,462,493,552,495,552,298,551,52","19 16 17 18,1 15 16 19,1 2 3 4 5 10 11 12 13 14 15,10 5 6 9,6 7 8 9","13 16 15 14,12 17 16 13,1 2 3 4 5 6 7 8 9 10 11,18 23 22 19,22 21 20 19","158,274,203,317",""
20,1,"","","","230,226,245,253",""
21,1,"","","","216,271,229,281",""
22,1,"","","","217,280,232,291",""
23,1,"","","","160,115,179,124",""
24,2,"288,51,402,49,495,350,603,59,733,52,945,153,905,248,734,186,737,550,744,946,255,941,259,550,253,199,104,250,53,153","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","231,157,250,174",""
25,2,"348,202,398,307,493,403,601,310,654,203,845,204,848,298,699,304,701,496,699,797,253,796,250,497,250,302,150,297,152,200","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","166,145,186,169",""
26,2,"154,52,298,54,328,150,357,54,502,50,691,57,693,199,502,200,502,350,498,551,156,541,151,354,156,199,3,199,4,54","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","281,147,309,179",""
27,2,"351,619,352,508,355,434,350,347,349,245,400,100,499,50,499,297,550,346,649,358,651,746,546,700,454,644,449,747,351,748","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","196,248,230,285",""
28,2,"63,546,177,502,280,596,384,503,463,535,535,558,521,693,459,696,449,849,449,999,103,999,105,857,113,695,7,699,9,569","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","174,151,197,178",""
29,2,"254,115,299,116,375,197,454,107,504,109,547,104,546,244,497,246,500,361,499,499,254,497,252,365,252,250,202,246,202,154","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","187,214,220,251",""
30,2,"604,405,699,404,754,402,824,401,946,403,948,942,604,956,156,347,160,103,251,105,300,348","1 2 3 4 5 10 11,1 2 14 15,4 5 6 7","1 2 3 4 5 6 7,8 11 10 9,11 8 9 10","102,155,310,184",""
31,2,"250,151,296,165,368,203,453,164,508,153,597,154,597,249,501,249,500,377,499,498,252,498,251,378,252,249,154,250,152,154","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","187,214,220,251",""
32,2,"300,504,384,601,501,652,612,602,702,503,895,508,900,649,695,648,699,812,698,976,353,977,351,819,353,652,104,649,103,505","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","115,131,136,161",""
33,2,"295,498,376,598,499,637,633,594,709,502,899,549,896,648,700,687,695,836,699,973,351,973,353,836,350,660,151,698,150,504","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","115,131,136,161",""
34,2,"152,55,242,55,298,150,410,56,492,53,644,57,644,238,504,240,500,403,498,647,151,649,153,404,150,241,3,248,3,54","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","279,148,318,198",""
35,2,"158,541,292,501,325,550,358,501,489,548,643,603,623,701,501,698,502,810,499,998,153,999,153,805,152,696,9,696,3,599","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","214,149,240,177",""
36,2,"488,556,502,634,450,730,502,838,490,909,362,901,29,898,32,553,368,564,753,181,980,177,977,293,846,299,846,700,982,703,982,803,752,848","1 2 14 15,1 2 3 4 5 8 10 11 13,4 5 6 7","17 14 15 16,1 2 3 4 5 6 7 8 9,13 10 11 12","105,137,133,169",""
37,2,"95,24,165,2,244,40,326,0,407,27,495,62,484,201,404,201,400,315,399,449,104,448,101,315,102,200,22,197,0,67","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","183,135,208,171",""
38,2,"155,56,229,26,344,104,466,33,548,54,679,107,652,256,504,204,498,322,499,473,207,470,202,327,201,206,54,250,52,102","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","166,216,188,247",""
39,2,"251,103,301,106,367,151,456,101,502,105,547,107,547,244,498,250,498,360,497,494,254,497,256,364,255,247,205,247,205,154","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","178,164,228,197",""
40,3,"53,560,217,452,307,502,412,452,590,556,491,698,499,806,498,949,110,938,108,807,107,693","1 2 3 4 5 6 7 8 9 10 11","1 2 3 4 5 6 7 8 9 10 11","271,146,301,183",""
41,3,"3,603,97,604,149,651,202,605,293,606,297,654,297,859,297,999,3,998,3,855,2,652","1 2 3 4 5 6 7 8 9 10 11","1 2 3 4 5 6 7 8 9 10 11","209,217,230,240",""
42,3,"105,2,862,5,869,997,110,995","11 6 8 9","1 2 3 4","247,224,261,243",""
43,3,"546,201,608,194,744,305,871,197,944,208,957,353,944,599,937,890,552,891,554,600,546,342","1 2 3 4 5 6 7 8 9 10 11","1 2 3 4 5 6 7 8 9 10 11","206,233,226,251",""
44,3,"804,338,994,589,772,940,564,642","11 6 8 9","1 2 3 4","194,173,229,205",""
45,3,"51,490,93,473,246,648,398,478,443,493,450,676,452,818,450,999,55,998,59,804,57,675","1 2 3 4 5 6 7 8 9 10 11","1 2 3 4 5 6 7 8 9 10 11","171,168,191,189",""
46,3,"562,108,562,195,450,296,544,362,552,441,449,447,193,450,5,448,2,108,196,106,448,103","1 2 3 4 5 6 7 8 9 10 11","1 2 3 4 5 6 7 8 9 10 11","225,152,247,179",""
